"~id","~start_node_id","~end_node_id","~relationship_type"
"0","0","23","CONTAINS"
"1","2","24","CONTAINS"
"2","2","25","CONTAINS"
"3","2","26","CONTAINS"
"4","2","27","CONTAINS"
"5","2","28","CONTAINS"
"6","2","29","CONTAINS"
"7","2","30","CONTAINS"
"8","3","31","CONTAINS"
"11","5","34","CONTAINS"
"12","6","35","CONTAINS"
"13","2","36","CONTAINS"
"14","2","37","CONTAINS"
"15","2","38","CONTAINS"
"16","7","39","CONTAINS"
"21","10","44","CONTAINS"
"22","0","45","CONTAINS"
"26","9","49","CONTAINS"
"27","11","50","CONTAINS"
"28","0","51","CONTAINS"
"29","0","52","CONTAINS"
"31","0","54","CONTAINS"
"32","0","55","CONTAINS"
"33","12","56","CONTAINS"
"34","5","57","CONTAINS"
"36","13","59","CONTAINS"
"37","2","60","CONTAINS"
"38","5","61","CONTAINS"
"39","14","62","CONTAINS"
"40","2","63","CONTAINS"
"41","2","64","CONTAINS"
"42","2","65","CONTAINS"
"44","0","67","CONTAINS"
"45","16","68","CONTAINS"
"46","17","69","CONTAINS"
"47","18","70","CONTAINS"
"49","0","72","CONTAINS"
"51","20","74","CONTAINS"
"52","21","75","CONTAINS"
"53","2","76","CONTAINS"
"54","22","77","CONTAINS"
"57","8","80","CONTAINS"
"58","8","81","CONTAINS"
"59","5","82","CONTAINS"
"60","23","83","CONTAINS"
"61","24","84","CONTAINS"
"62","25","85","CONTAINS"
"63","26","86","CONTAINS"
"64","27","87","CONTAINS"
"65","28","88","CONTAINS"
"66","29","89","CONTAINS"
"67","30","90","CONTAINS"
"68","31","91","CONTAINS"
"72","34","95","CONTAINS"
"73","27","96","CONTAINS"
"74","35","97","CONTAINS"
"75","23","98","CONTAINS"
"76","26","99","CONTAINS"
"77","36","100","CONTAINS"
"78","36","101","CONTAINS"
"79","37","102","CONTAINS"
"80","38","103","CONTAINS"
"81","39","104","CONTAINS"
"85","44","108","CONTAINS"
"86","27","109","CONTAINS"
"87","45","110","CONTAINS"
"94","49","117","CONTAINS"
"95","50","118","CONTAINS"
"96","51","119","CONTAINS"
"97","52","120","CONTAINS"
"98","54","121","CONTAINS"
"99","55","122","CONTAINS"
"100","56","123","CONTAINS"
"102","57","125","CONTAINS"
"104","29","127","CONTAINS"
"105","59","128","CONTAINS"
"106","60","129","CONTAINS"
"107","61","130","CONTAINS"
"108","62","131","CONTAINS"
"110","64","133","CONTAINS"
"111","65","134","CONTAINS"
"113","52","136","CONTAINS"
"114","23","137","CONTAINS"
"115","67","138","CONTAINS"
"116","28","139","CONTAINS"
"117","68","140","CONTAINS"
"118","69","141","CONTAINS"
"119","70","142","CONTAINS"
"120","72","143","CONTAINS"
"122","74","145","CONTAINS"
"123","75","146","CONTAINS"
"124","76","147","CONTAINS"
"125","27","148","CONTAINS"
"126","63","149","CONTAINS"
"127","26","150","CONTAINS"
"128","54","151","CONTAINS"
"129","77","152","CONTAINS"
"132","80","155","CONTAINS"
"133","81","156","CONTAINS"
"134","82","157","CONTAINS"
"135","30","158","CONTAINS"
"136","29","159","CONTAINS"
"138","83","161","HOSTS"
"139","84","162","HOSTS"
"140","85","163","HOSTS"
"141","86","164","HOSTS"
"142","87","165","HOSTS"
"143","88","166","HOSTS"
"144","89","167","HOSTS"
"145","90","168","HOSTS"
"146","91","169","HOSTS"
"150","83","174","HOSTS"
"151","95","175","HOSTS"
"152","96","176","HOSTS"
"153","97","177","HOSTS"
"154","98","178","HOSTS"
"155","99","179","HOSTS"
"156","100","180","HOSTS"
"157","101","181","HOSTS"
"158","95","182","HOSTS"
"159","95","183","HOSTS"
"160","102","184","HOSTS"
"161","103","185","HOSTS"
"162","104","186","HOSTS"
"168","110","193","HOSTS"
"175","109","200","HOSTS"
"176","117","202","HOSTS"
"177","118","203","HOSTS"
"178","119","204","HOSTS"
"179","120","205","HOSTS"
"180","121","207","HOSTS"
"181","83","208","HOSTS"
"182","83","209","HOSTS"
"184","83","211","HOSTS"
"185","122","212","HOSTS"
"186","123","213","HOSTS"
"187","118","214","HOSTS"
"189","125","216","HOSTS"
"191","127","218","HOSTS"
"192","128","219","HOSTS"
"193","129","220","HOSTS"
"194","130","221","HOSTS"
"195","131","222","HOSTS"
"197","133","224","HOSTS"
"198","134","225","HOSTS"
"200","136","228","HOSTS"
"201","137","229","HOSTS"
"202","138","231","HOSTS"
"203","139","232","HOSTS"
"204","140","233","HOSTS"
"205","141","234","HOSTS"
"206","101","235","HOSTS"
"207","142","237","HOSTS"
"208","143","239","HOSTS"
"210","86","242","HOSTS"
"211","145","243","HOSTS"
"212","145","244","HOSTS"
"213","146","245","HOSTS"
"214","96","246","HOSTS"
"215","109","247","HOSTS"
"216","99","248","HOSTS"
"217","147","249","HOSTS"
"218","148","250","HOSTS"
"219","149","251","HOSTS"
"220","150","252","HOSTS"
"221","96","253","HOSTS"
"223","151","255","HOSTS"
"224","152","256","HOSTS"
"225","101","257","HOSTS"
"227","98","259","HOSTS"
"228","108","260","HOSTS"
"230","155","262","HOSTS"
"231","156","263","HOSTS"
"232","157","264","HOSTS"
